#显示菜单码    ID号    菜单名称
# 999999 全套餐菜单测试专用
20811     ,00002336  ,印鉴卡建档
20812     ,00002337  ,印鉴卡建档冲销
20813     ,00002338  ,印鉴卡打印
20814     ,00002339  ,印鉴卡账户关联
20815     ,00002340  ,印鉴卡账户关联解除
20816     ,00002341  ,印鉴卡更换
20817     ,00002342  ,印鉴卡回收
20818     ,00002343  ,印鉴卡明细查询及维护
2082      ,00002344  ,印鉴卡状态查询
209       ,00002345  ,个人综合信息查询(营销岗位专用)
21        ,00000000  ,个人账户信息管理
210       ,00000080  ,账户信息综合查询
211       ,00000081  ,账户交易明细综合查询
212       ,00000082  ,账户自动转存明细查询
213       ,00000000  ,存款账户信息维护
2130      ,00000083  ,存款账户重要信息变更
2131      ,00000084  ,存款账户其他信息变更
2132      ,00000000  ,存款账户特殊业务管理
21320     ,00000085  ,账户冻结
21321     ,00002346  ,账户续冻
21322     ,00000086  ,账户解冻
21323     ,00002347  ,解冻冲销
21324     ,00000087  ,账户止付
21325     ,00000088  ,解除止付
21326     ,00000089  ,存款账户冻结、止付登记簿查询维护
21327     ,00002558  ,存款账户机构转移
2133      ,00000091  ,外币存款账户结算标志变更
214       ,00000000  ,凭证及支取方式管理
2140      ,00000000  ,支票/结算业务委托书
21400     ,00000092  ,凭证出售
21401     ,00000093  ,凭证出售冲销
21402     ,00000094  ,凭证回收作废
21403     ,00000095  ,凭证回收作废冲销
21404     ,00000096  ,挂失
21405     ,00000097  ,撤销挂失
21406     ,00000098  ,法院止付通知
21407     ,00000099  ,作废解挂
21408     ,00000100  ,停止(恢复)卖出支票
21409     ,00000101  ,个人空头支票黑名单登记
2140a     ,00000102  ,个人空头支票黑名单撤销
2140b     ,00000000  ,综合查询
2140b0    ,00000103  ,凭证状态查询
2140b1    ,00000104  ,票据挂失登记簿查询
2140b2    ,00000105  ,个人空头支票管理登记簿查询
2141      ,00000000  ,存款凭证日常管理
21410     ,00000106  ,普通存折补登折
21411     ,00000107  ,定期一本通补登折
21412     ,00000108  ,换凭证
21413     ,00000109  ,销凭证
21414     ,00000110  ,存折重写磁
21415     ,00000111  ,存折补开卡
21416     ,00000112  ,存折打印调整
21417     ,00000113  ,卡重写磁道
21418     ,00000114  ,卡补开存折
21419     ,00000115  ,存款凭证查询
2141a     ,00002760  ,磁条卡换IC卡
2141b     ,00002761  ,挂失换卡(磁条卡换IC卡)
2142      ,00000000  ,存款凭证挂失管理
21420     ,00000116  ,挂失
21421     ,00000117  ,换证解挂
21422     ,00000118  ,撤销挂失
21423     ,00000119  ,销凭证解挂
21424     ,00000120  ,销户解挂
21425     ,00000121  ,挂失、解挂查询
2143      ,00000000  ,支取方式管理
21430     ,00000122  ,密码修改
21431     ,00000123  ,密码解锁
21432     ,00000124  ,支取方式挂失
21433     ,00000125  ,撤销挂失
21434     ,00000126  ,解挂
21435     ,00000127  ,登记簿查询
21436     ,00000128  ,支取方式变更
21437     ,00000129  ,指定农医保卡密码重置
21438     ,00002706  ,密码重置
215       ,00000130  ,小额账户收费明细查询
216       ,00000131  ,利息税明细查询
217       ,00000000  ,年费管理
2170      ,00000132  ,增加免收年费
2171      ,00000133  ,删除免收年费
2172      ,00000134  ,免收年费查询
218       ,00000078  ,个人开销户查询
219       ,00001912  ,个人账户激活
21a       ,00001922  ,个人账户信息综合查询(营销岗位专用)
21b       ,00002348  ,存取款代理人信息查询
21c       ,00002704  ,个人账户激活
21d       ,00003016  ,个人账户激活(远程柜员)
22        ,00000000  ,单位账户信息管理
220       ,00000135  ,账户信息综合查询
221       ,00000136  ,账户交易明细综合查询
222       ,00002349  ,账户自动转存明细查询
223       ,00000000  ,账户信息维护
2230      ,00000137  ,重要信息变更
2231      ,00000138  ,其他信息变更
2232      ,00000000  ,特殊业务管理
22320     ,00000139  ,账户冻结
22321     ,00002350  ,账户续冻
22322     ,00000140  ,账户解冻
22323     ,00002351  ,解冻冲销
22324     ,00000141  ,账户止付
22325     ,00000142  ,解除止付
22326     ,00000143  ,冻结、止付登记簿查询维护
22327     ,00000090  ,存款账户机构转移
2233      ,00000000  ,账户年检
22330     ,00000144  ,账户年检登记
22331     ,00000145  ,年检情况查询
22332     ,00000146  ,账户年检信息变更(系统组专用)
22333     ,00001880  ,账户年检信息变更(支行专用)
2234      ,00000147  ,账户管理费收费标志变更
224       ,00000000  ,凭证管理
2240      ,00000000  ,支票/结算业务委托书/银行承兑汇票
22400     ,00000148  ,出售
22401     ,00000149  ,出售冲销
22402     ,00000150  ,回收作废
22403     ,00000151  ,回收作废冲销
22404     ,00000152  ,挂失
22405     ,00000153  ,撤销挂失
22406     ,00000154  ,法院止付通知处理
22407     ,00000155  ,作废解挂
22408     ,00000156  ,停止(恢复)卖出支票
22409     ,00000157  ,单位空头支票黑名单登记
2240a     ,00000158  ,单位空头支票黑名单撤销
2240b     ,00000000  ,综合查询
2240b0    ,00000159  ,支付凭证状态查询
2240b1    ,00000160  ,票据挂失登记簿查询
2240b2    ,00000161  ,单位空头支票管理登记簿查询
2241      ,00000000  ,对账折
22410     ,00000162  ,出售
22411     ,00000163  ,补登折
22412     ,00000164  ,停用
2242      ,00000000  ,存款证实书/单位定期存单
22420     ,00000165  ,挂失
22421     ,00000166  ,换证实书/单位存单解挂
22422     ,00000167  ,撤销挂失
22423     ,00000168  ,挂失、解挂登记簿查询
22424     ,00000169  ,换定期证实书/单位存单
22425     ,00000170  ,开立单位质押定期存单
22426     ,00000171  ,收回单位质押定期存单
22427     ,00000172  ,存款证实书/单位存单查询
225       ,00000000  ,挑选账号管理
226       ,00000000  ,财政授权支付管理
2260      ,00000173  ,建立财政授权支付项目
2261      ,00000000  ,财政授权支付项目维护
22610     ,00000174  ,财政授权支付项目维护
22611     ,00000175  ,财政授权支付预算单位维护
2262      ,00000176  ,设置/修改预算单位支付额度
2263      ,00000177  ,财政授权支付额度管理登记簿查询打印
2264      ,00000178  ,日终预算单位资金清算处理
2265      ,00000179  ,日终预算单位结转收款(退款)处理
227       ,00000079  ,单位开销户查询
23        ,00000000  ,新旧账号查询
230       ,00000180  ,旧账号查新账号
231       ,00000181  ,新账号查旧账号
24        ,00000000  ,老凭证处理
240       ,00000000  ,老凭证换新凭证
2400      ,00000182  ,老凭证换新凭证
241       ,00000000  ,老凭证挂失处理
2410      ,00000183  ,老凭证挂失
2411      ,00000184  ,挂失、解挂查询
2412      ,00000185  ,换证解挂
3         ,00000000  ,负债业务
30        ,00000000  ,个人负债业务
300       ,00000000  ,普通存折业务
3000      ,00000000  ,活期业务
30000     ,00000186  ,活期存折开户
30001     ,00000187  ,冲开户
30002     ,00000188  ,活期存折存款
30003     ,00000189  ,取款
30004     ,00000190  ,错账处理
30005     ,00000191  ,现金销户
30006     ,00000192  ,转账销户
30007     ,00000193  ,冲销户
3001      ,00000000  ,零存整取业务
30010     ,00000194  ,零存整取开户
30011     ,00000195  ,冲开户
30012     ,00000196  ,零存整取存款
30013     ,00000197  ,错账处理
30014     ,00000198  ,现金销户
30015     ,00000199  ,转账销户
30016     ,00000200  ,强制现金销户
30017     ,00000201  ,强制转账销户
30018     ,00000202  ,冲销户
3002      ,00000000  ,教育储蓄业务
30020     ,00000203  ,教育储蓄开户
30021     ,00000204  ,冲开户
30022     ,00000205  ,教育储蓄存款
30023     ,00000206  ,错账处理
30024     ,00000207  ,现金销户
30025     ,00000208  ,转账销户
30026     ,00000209  ,强制现金销户
30027     ,00000210  ,强制转账销户
30028     ,00000211  ,冲销户
301       ,00000000  ,定期一本通业务
3010      ,00000000  ,整存整取业务
30100     ,00000212  ,整存整取现金开户
30101     ,00000213  ,整存整取转账开户
30102     ,00000214  ,冲开户
30103     ,00000215  ,现金部分提前支取
30104     ,00000216  ,转账部分提前支取
30105     ,00000217  ,部分提前支取冲账
30106     ,00000000  ,销户
301060    ,00000218  ,现金销户
301061    ,00000219  ,转账销户
301062    ,00000220  ,强制现金销户
301063    ,00000221  ,强制转账销户
301064    ,00000222  ,冲销户
3011      ,00000000  ,通知存款业务
30110     ,00000223  ,通知存款现金开户
30111     ,00000224  ,通知存款转账开户
30112     ,00000225  ,冲开户
30113     ,00000226  ,预约登记
30114     ,00000227  ,取消预约登记
30115     ,00000228  ,取款
30116     ,00000229  ,错账处理
30117     ,00000000  ,销户
301170    ,00000230  ,现金销户
301171    ,00000231  ,转账销户
301172    ,00000232  ,冲销户
30118     ,00002559  ,预约查询
30119     ,00000234  ,通知存款自动转存明细查询
302       ,00000000  ,卡业务
3020      ,00000235  ,卡开户
3021      ,00000236  ,冲开户
3022      ,00000237  ,卡存款
3023      ,00000238  ,取款
3024      ,00000239  ,错账处理
3025      ,00000240  ,现金销户
3026      ,00000241  ,转账销户
3027      ,00000242  ,冲销户
3028      ,00000000  ,旧农医保卡回收业务
30280     ,00002710  ,旧农医保卡销凭证
30281     ,00002711  ,旧农医保卡单卡销户
303       ,00000000  ,个人支票业务
3030      ,00000243  ,开户
3031      ,00000244  ,冲开户
3032      ,00000245  ,存款
3033      ,00000246  ,取款
3034      ,00000247  ,错账处理
3035      ,00000248  ,结息
3036      ,00000249  ,销户
3037      ,00000250  ,冲销户
304       ,00000000  ,存单业务
3040      ,00000000  ,整存整取业务
30400     ,00000251  ,整存整取现金开户
30401     ,00000252  ,整存整取转账开户
30402     ,00000253  ,冲开户
30403     ,00000254  ,现金部分提前支取
30404     ,00000255  ,转账部分提前支取
30405     ,00000256  ,部分提前支取冲销
30406     ,00000000  ,销户
304060    ,00000257  ,现金销户
304061    ,00000258  ,转账销户
304062    ,00000259  ,强制现金销户
304063    ,00000260  ,强制转账销户
304064    ,00000261  ,冲销户
3041      ,00000000  ,定活两便业务
